State,Who Can Return an Absentee or Mail Ballot on Behalf of a Voter,Other Restrictions on Collecting Absentee or Mail Ballots
Alabama,No one other than the absentee voter may return their own ballot by mail or hand delivery.,No one other than the absentee voter may return their own ballot by mail or hand delivery.
Alaska,"A friend, relative or associate may transfer the absentee ballot to the U.S. Postal Service or a private commercial delivery service for delivery to the division of elections. For those unable to vote in person because of age, illness or disability, a personal representative may pick up, assist in marking and return an absentee ballot.",NA
Arizona,"A family member, household member or caregiver may return an absentee ballot on behalf of a voter.",A person who knowingly collects voted or unvoted early ballots from another person is guilty of a class 6 felony.
Arkansas,A designated bearer or authorized agent may obtain an absentee ballot on behalf of another voter and return it directly to the county clerk. The designated bearer must show a photo ID to the county clerk and sign an oath both when obtaining and returning an absentee ballot.,A designated bearer may obtain absentee ballots for no more than two voters per election and shall not have more than two absentee ballots in his or her possession at any time.
California,A vote-by-mail voter who is unable to return the ballot may designate another person to return the ballot.,"A person designated to return a vote-by-mail ballot shall not receive any form of compensation based on the number of ballots that the person returns and an individual, group, or organization shall not provide compensation on this basis."
Colorado,Any person of the elector's own choice or any duly authorized agent of the county clerk and recorder or designated election official may be designated to mail or deliver a mail ballot.,No person other than a duly authorized agent of the county clerk and recorder or designated election official may receive more than 10 mail ballots in any election for mailing or delivery.
Connecticut,"An absentee ballot may be returned by a voter’s “designee,” which includes a person who is caring for the applicant because of the applicant's illness or physical disability, including but not limited to, a licensed physician or a registered or practical nurse; a member of the applicant's family; or if no such person consents or is available, then a police officer, registrar of voters, deputy registrar of voters or assistant registrar of voters in the municipality in which the applicant resides.",NA
Delaware,"Absentee voters must return their ballots by U.S. mail, by delivering it, or “causing it to be delivered” prior to the close of polls on Election Day. There is no explicit provision for an agent or designee to return an absentee ballot on behalf of a voter.",NA
District of Columbia,A registered voter may apply for and return an emergency ballot through an authorized agent if the voter is unexpectedly unable to be present at the polls due to an illness or accident or the voter is serving on a sequestered jury on Election Day.,NA
Florida,"Any elector applying to cast a vote by mail ballot in the office of the supervisor, in any election, who requires assistance to vote by reason of blindness, disability, or inability to read or write may request the assistance of some person of his or her own choice, other than the elector's employer, an agent of the employer, or an officer or agent of his or her union, in casting his or her vote-by-mail ballot.",NA
Georgia,"In the case of an elector who is confined to a hospital on the day of the election, a family member or individual residing in the household of a disabled elector may personally deliver an absentee ballot on behalf of the disabled elector. A physically disabled or illiterate elector may receive assistance from any elector who is qualified to vote in the same county or municipality, an attendant care provider or a family member.","No person shall assist more than 10 such electors in any primary, election, or runoff in which there is no federal candidate on the ballot."
Hawaii,NA,NA
Idaho,NA,NA
Illinois,"A person authorized by the voter may return an absentee ballot. If the ballot is from a physically incapacitated elector, an employee or person under the direction of the facility in which the voter is located may deliver to the ballot. There is an authorization on the ballot envelope naming and authorizing another person to return the ballot.",NA
Indiana,A member of the voter's household or a person designated as the attorney for the voter.,NA
Iowa,A voter may designate a person to deliver a completed absentee ballot.,NA
Kansas,"Upon written designation by the voter, a person other than the voter may return an absentee ballot. Any such person designated by the voter shall sign a statement that such person has not exercised undue influence on the voting decisions of the voter and agrees to deliver the ballot as directed by the voter.",NA
Kentucky,Any person assisting another in voting by use of absentee ballot shall complete a voter assistance form. ,NA
Louisiana,"If delivered by other than the voter, a commercial courier, or the U.S. Postal Service, the registrar shall require that the person making such delivery sign a statement, prepared by the secretary of state, certifying that he has the authorization and consent of the voter to hand deliver the marked ballot.",No person except the immediate family of the voter shall hand deliver more than one marked ballot to the registrar.
Maine,Absentee ballot return by a third person is permitted as long as the third person is not a candidate or a member of a candidate’s immediate family.,An absentee ballot may not be issued to a third person who has already been issued five absentee ballots for voters in the municipality until the third person has returned one of those ballots.
Maryland,"A qualified applicant may designate a duly authorized agent to pick up and deliver an absentee ballot. An agent of the voter under this section: must be at least 18 years old; may not be a candidate on that ballot; shall be designated in a writing signed by the voter under penalty of perjury; and shall execute an affidavit under penalty of perjury that the ballot was delivered to the voter who submitted the application; marked and placed in an envelope by the voter, or with assistance as allowed by regulation, in the agent's presence; and returned to the local board by the agent.",NA
Massachusetts,A family member may deliver an absentee ballot on behalf of a voter.,NA
Michigan,A member of the immediate family of the voter or a person residing in the voter’s household may deliver a ballot to the clerk for the voter.,NA
Minnesota,The voter may designate an agent to deliver in person the sealed absentee ballot return envelope to the county auditor or municipal clerk or to deposit the return envelope in the mail.,An agent may deliver or mail the return envelopes of not more than three voters in any election.
Mississippi,NA,NA
Missouri,An absentee ballot may be returned in person by a relative of the voter who is within the second degree of consanguinity or affinity.,NA
Montana,Individuals authorized to transmit ballots are an election official; U.S. postal service worker or other individual specifically authorized by law to transmit U.S. mail; caregiver; family member; household member; or acquaintance.,A person other than an authorized individual may not knowingly collect a voter's voted or unvoted ballot. An individual authorized to collect a voter's ballot may not collect and convey more than six ballots.
Nebraska,An absentee voter may appoint an agent.,A candidate for office and any person serving on a campaign committee for such a candidate shall not act as an agent for any registered voter requesting a ballot unless such person is a member of the registered voter's family. No person shall act as an agent for more than two registered voters in any election.
Nevada,"It is unlawful for any person to return a mailing ballot other than the registered voter to whom the ballot was sent or, at the request of the voter, a member of the family of that voter.",NA
New Hampshire,A family member may return the ballot and must complete a form and present a government-issued photo ID or have his or her identity confirmed by the city or town clerk.,NA
New Jersey,"An authorized messenger may return the ballot. The bearer certifies that he or she received a mail-in ballot directly from the voter, and no other person, and is authorized to deliver the ballot to the appropriate board of election or designee on behalf of the voter.",No person shall serve as an authorized messenger for more than three qualified voters in an election. No person who is a candidate in the election for which the voter requests a mail-in ballot shall be permitted to serve as an authorized messenger or bearer.
New Mexico,"A voter, caregiver to that voter or member of that voter's immediate family may deliver that voter's absentee ballot to the county clerk in person or by mail, provided that the voter has subscribed the outer envelope of the absentee ballot.",NA
New York,NA,NA
North Carolina,A voter’s near relative or verifiable legal guardian may return an absentee ballot.,"It is a class 1 felony for any person to take into that person’s possession for delivery to a voter or for return to a county board of elections the absentee ballot of any voter, except a voter’s near relative or verifiable legal guardian."
North Dakota,"An absentee voter may designate an agent. The agent may not, at that time, be a candidate for any office to be voted upon by the absent voter. The agent must provide a signed, written authorization from an applicant.","No person may receive compensation, including money, goods or services, for acting as an agent for an elector, nor may a person act as an agent for more than four electors in any one election."
Ohio,A family member of the absentee elector may deliver the ballot.,NA
Oklahoma,"The voter shall be required to mark the ballot in ink or other manner as prescribed by the Secretary of the State Election Board; seal the ballots in the plain opaque envelope; fill out completely and sign the affidavit, such signature to be notarized at no charge by a notary public; seal the plain opaque envelope inside the envelope bearing the affidavit and return both envelopes, sealed inside the return envelope, by hand delivery, United States mail or by a private mail service, provided such service has delivery documentation, to the county election board. No person who is a candidate for an office on the ballot or who is the chair or treasurer of the campaign of a candidate for office or who is related within the third degree of consanguinity or affinity to a candidate on the ballot may witness any absentee ballot affidavit. A voter's spouse is excepted from ballot harvesting laws and is permitted to return an absentee ballot on behalf of a voter.","Any voter who hand delivers his or her ballot as provided in subsection A of this section shall provide proof of identity to the county election board. A notary public must witness the absentee voter signing the absentee ballot return envelope. Notaries may not notarize more than 20 absentee ballot affidavits without the written approval of the election board. Oklahoma also prohibits ""ballot harvesting,"" defined as:
1.  Collecting or obtaining an absentee ballot from another person with the intent to submit, transmit or return the ballot to election officials on behalf of that person;
2.  Submitting, returning or transmitting an absentee ballot to election officials on behalf of another person;
3.  Collecting or obtaining an absentee ballot from another person under a false pretense or promise of transmitting, returning or submitting it to election officials on behalf of that person;
4.  Requesting or receiving an absentee ballot on behalf of another person;
5.  Partially or fully completing an application for an absentee ballot on behalf of another person without that person's prior consent; or
6.  Notarizing or witnessing more absentee ballots than allowed by law."
Oregon,A person may return a ballot on behalf of another voter.,"A person may not attempt to collect voted ballots within any building in which any state or local government elections office designated for the deposit of ballots is located, or within 100 feet measured radially from any entrance to the building. A person may not establish a location to collect ballots voted by electors unless the person prominently displays at the location a sign stating: “NOT AN OFFICIAL BALLOT DROP SITE”; and the sign is printed in all capital letters in bold 50-point type."
Pennsylvania,"The ballot envelope shall then be securely sealed and the elector shall send same by mail, postage prepaid, except where franked, or deliver it in person to said county board of election.",NA
Rhode Island,NA,NA
South Carolina,"A voter may authorize another person to return the ballot in writing. A candidate or a member of a candidate's paid campaign staff, including volunteers reimbursed for time expended on campaign activity, is not permitted to serve as an authorized returnee for any person unless the person is a member of the voter's immediate family.",NA
