state,county,address,phone
IA,Adair,400 Public Square Ste 5 Greenfield IA 50849,641-743-2546
IA,Adams,500 9th Street Corning IA 50841,641-322-3340
IA,Allamakee,110 Allamakee Waukon IA 52172,563-568-3522
IA,Appanoose,201 N. 12th Street Centerville IA 52544,641-856-6191
IA,Audubon,318 Leroy Street #4 Audubon IA 50025,712-563-2584
IA,Benton,111 E. 4th Street Vinton IA 52349,319-472-2365
IA,Black Hawk,316 E. 5th Street Waterloo IA 50703,319-833-3007
IA,Boone,201 State Street Boone IA 50036,515-433-0502
IA,Bremer,415 E. Bremer Ave. Waverly IA 50677,319-352-0340
IA,Buchanan,210 5th Avenue NE Independence IA 50644,319-334-4109
IA,Buena Vista,215 E. 5th Street Storm Lake IA 50588,712-749-2542
IA,Butler,428 6th Street Allison IA 50602,319-267-2670
IA,Calhoun,"416 4th Street, Ste. 1 Rockwell City IA 50579",712-297-7741
IA,Carroll,114 E. 6th Street Carroll IA 51401,712-792-9802
IA,Cass,5 W. 7th Street Atlantic IA 50022,712-243-4570
IA,Cedar,400 Cedar Street Tipton IA 52772,563-886-3168
IA,Cerro Gordo,220 N. Washington Ave. Mason City IA 50401,641-421-3034
IA,Cherokee,520 W. Main Cherokee IA 51012,712-225-6704
IA,Chickasaw,8 E. Prospect New Hampton IA 50659,641-394-2100
IA,Clarke,100 S. Main Osceola IA 50213,641-342-3315
IA,Clay,"County Admn. Bldg., 300 W. 4th St., Ste. 4 Spencer IA 51301",712-262-1569
IA,Clayton,"111 High Street NE, Suite 102 Elkader IA 52043",563-245-1106
IA,Clinton,1900 N. 3rd Street Clinton IA 52732,563-244-0568
IA,Crawford,1202 Broadway Ste. 5 Denison IA 51442,712-263-3045
IA,Dallas,210 N 10th St Adel IA 50003,515-993-6914
IA,Davis,100 Courthouse Square Ste. 2 Bloomfield IA 52537,641-664-2101
IA,Decatur,207 N. Main Street Leon IA 50144,641-446-4323
IA,Delaware,301 E. Main Street Room 210 Manchester IA 52057,563-927-4701
IA,Des Moines,"513 N. Main, Suite 203 Burlington IA 52601",319-753-8232
IA,Dickinson,"1802 Hill Avenue, Suite 1400 Spirit Lake IA 51360",712-336-3356
IA,Dubuque,720 Central Avenue Dubuque IA 52001,563-589-4457
IA,Emmet,609 1st Avenue N. Estherville IA 51334,712-362-4261
IA,Fayette,114 N. Vine Street West Union IA 52175,563-422-3497
IA,Floyd,101 S. Main Street #302 Charles City IA 50616,641-257-6131
IA,Franklin,12 1st Avenue NW Hampton IA 50441,641-456-5622
IA,Fremont,506 Filmore Sidney IA 51652,712-374-2031
IA,Greene,114 N. Chestnut Jefferson IA 50129,515-386-5680
IA,Grundy,706 G Avenue Grundy Center IA 50638,319-824-3122
IA,Guthrie,200 N. 5th Guthrie Center IA 50115,641-747-3619
IA,Hamilton,2300 Superior Street Webster City IA 50595,515-832-9510
IA,Hancock,855 State Street Garner IA 50438,641-923-3163
IA,Hardin,"1215 Edgington Avenue, Ste. 1 Eldora IA 50627",641-939-8109
IA,Harrison,111 N. 2nd Avenue Logan IA 51546,712-644-2401
IA,Henry,100 E. Washington St. Ste. 202 Mount Pleasant IA 52641,319-385-0756
IA,Howard,137 N. Elm Street Cresco IA 52136,563-547-9203
IA,Humboldt,203 Main St. Dakota City IA 50529,515-332-1571
IA,Ida,401 Moorhead Street Ida Grove IA 51445,712-364-2626
IA,Iowa,970 Court Ave Marengo IA 52301,319-642-3923
IA,Jackson,201 W. Platt Street Maquoketa IA 52060,563-652-3144
IA,Jasper,101 1st Street N. Newton IA 50208,641-792-7016
IA,Jefferson,51 E. Briggs Fairfield IA 52556,641-472-2840
IA,Johnson,"913 S. Dubuque St., Ste. 101 Iowa City IA 52240",319-356-6004
IA,Jones,500 W. Main Anamosa IA 52205,319-462-2282
IA,Keokuk,101 S. Main Sigourney IA 52591,641-622-2320
IA,Kossuth,114 W. State Street Algona IA 50511,515-295-2718
IA,Lee,"County Office Bldg., 933 Avenue H Fort Madison IA 52627",319-372-3705
IA,Linn,935 2nd St. SW Cedar Rapids IA 52404,319-892-5300
IA,Louisa,117 S. Main Wapello IA 52653,319-523-3373
IA,Lucas,916 Braden Avenue Chariton IA 50049,641-774-4512
