state,county,address,phone
PA,Adams County,"117 Baltimore Street
Gettysburg, PA 17325-2313
",(717) 337-9832
PA,Allegheny County,"542 Forbes Ave., Suite 604
Pittsburgh, PA 15219-2953
",(412) 350-4500
PA,Armstrong County,"450 East Market St.
Kittanning, PA 16201
",(724) 548-3222
PA,Beaver County,"810 Third St.
Beaver, PA 15009


",(724) 770-4440
PA,Bedford County,"200 S. Juliana Street
Bedford, PA 15522
",(814) 623-4807
PA,Berks County,"633 Court St., 1st Floor
Reading, PA 19601
",(610) 478-6490
PA,Blair County,"423 Allegheny St., Suite 047
Hollidaysburg, PA 16648-9978
",(814) 693-3150
PA,Bradford County,"6 Court St., Ste. 2
Towanda, PA 18848
",(570) 265-1717
PA,Bucks County,"55 E. Court St.
Doylestown, PA 18901
",(215) 348-6154
PA,Butler County,"124 West Diamond St
Butler, PA 16001
",(724) 284-5308
PA,Cambria County,"200 S. Center St.
Ebensburg, PA 15931
",(814) 472-1464
PA,Cameron County,"20 E. 5th St.
Emporium, PA 15834
",(814) 486-2315
PA,Carbon County,"76 Susquehanna St., PO Box 170
Jim Thorpe, PA 18229
",(570) 325-4801
PA,Centre County,"420 Holmes St.
Bellefonte, PA 16823-1488
",(814) 355-6703
PA,Chester County,"601 Westtown Rd., Ste. 150
PO Box 2747
West Chester, PA 19380-0990
",(610) 344-6410
PA,Clarion County,"330 Main Street
Rm 104
Clarion, PA 16214
",(814) 226-4000
PA,Clearfield County,"212 E Locust St.
Clearfield, PA 16830
",(814) 765-2642
PA,Clinton County,"2 Piper Way, Suite 309
Lock Haven, PA 17745-0928
",(570) 893-4019
PA,Columbia County,"11 W. Main Street
Bloomsburg, PA 17815-0380
",(570) 389-5640
PA,Crawford County,"903 Diamond Park
Meadville, PA 16335
",(814) 333-7307
PA,Cumberland County,"1601 Ritner Highway
Carlisle, PA 17013
",(717) 240-6385
PA,Dauphin County,"Dauphin Co. - 2 S. 2nd St.
P.O. Box 1295
Harrisburg, PA 17108-1295
",(717) 780-6360
